ID_Geografia;Continente;Pais
285;Europa;França
286;Europa;Alemanha
293;Europa;Portugal
297;Europa;Espanha
330;Europa;França
331;Europa;França
332;Europa;Alemanha
333;Europa;Alemanha
334;Europa;Alemanha
339;Europa;Alemanha
340;Europa;França
342;Europa;Portugal
345;Europa;Espanha
346;Europa;França
350;Europa;Alemanha
351;Europa;Alemanha
353;Europa;França
354;Europa;França
357;Europa;Alemanha
358;Europa;França
385;Europa;Alemanha
387;Europa;França
388;Europa;Alemanha
389;Europa;França
391;Europa;França
393;Europa;França
395;Europa;França
398;Europa;França
399;Europa;França
400;Europa;França
402;Europa;França
403;Europa;França
404;Europa;Alemanha
405;Europa;França
410;Europa;França
413;Europa;França
414;Europa;França
416;Europa;França
418;Europa;França
419;Europa;Alemanha
435;Europa;França
437;Europa;Alemanha
454;Europa;França
459;Europa;França
474;Europa;Alemanha
476;Europa;França
480;Europa;Alemanha
482;Europa;Alemanha
483;Europa;Alemanha
491;Europa;Alemanha
496;Europa;Alemanha
503;Europa;França
504;Europa;França
513;Europa;Alemanha
515;Europa;Alemanha
517;Europa;Alemanha
521;Europa;Alemanha
524;Europa;França
528;Europa;França
529;Europa;França
530;Europa;França
533;Europa;Alemanha
539;Europa;França
540;Europa;França
542;Europa;Alemanha
543;Europa;França
544;Europa;França
545;Europa;França
548;Europa;França
555;Europa;Alemanha
556;Europa;Alemanha
557;Europa;França
563;Europa;França
564;Europa;França
569;Europa;Alemanha
586;Europa;Alemanha
590;Europa;Alemanha
591;Europa;França
592;Europa;França
595;Europa;Alemanha
615;Europa;França
616;Europa;França
621;Europa;França
622;Europa;França
623;Europa;Alemanha
624;Europa;França
626;Europa;Alemanha
629;Europa;Alemanha
635;Europa;Alemanha
639;Europa;Alemanha
640;Europa;Alemanha
641;Europa;Alemanha
649;Europa;Alemanha
650;Europa;França
657;Europa;França
661;Europa;França
662;Europa;Alemanha
664;Europa;Alemanha
672;Europa;França
674;Europa;Alemanha
681;Europa;França
683;Europa;Alemanha
684;Europa;França
685;Europa;França
687;Europa;Alemanha
696;Europa;Alemanha
700;Europa;França
702;Europa;França
739;Europa;Alemanha
747;Europa;Alemanha
750;Europa;Alemanha
752;Europa;Alemanha
754;Europa;Alemanha
756;Europa;Alemanha
757;Europa;Portugal
759;Europa;França
760;Europa;Espanha
762;Europa;França
765;Europa;Alemanha
766;Europa;França
767;Europa;França
769;Europa;Alemanha
770;Europa;Alemanha
775;Europa;França
777;Europa;França
