ID_Promocao;ID_Venda;Valor do desconto;Qtd_Vendida;Valor do retorno;Total_Venda;Custo unitário;Preço unitário;Data;Id_Canal;ID_Historico;Id_Produto
21;76;42,9;12;0;5105,1;197,28;429;30/06/2012;1;107;283
14;195;62,55;26;0;3551,45;70,87;139;04/10/2012;1;272;597
1;348;0;10;0;4290;197,28;429;25/02/2013;3;200;283
1;633;0;10;0;6890;316,85;689;09/01/2012;3;200;234
21;856;27,8;24;0;3308,2;70,87;139;05/07/2011;1;138;609
1;1063;0;15;0;3448,5;117,21;229,9;18/06/2013;1;180;441
1;1280;0;20;0;2780;70,87;139;12/06/2013;3;200;632
1;1314;0;10;0;4290;197,28;429;16/04/2012;1;7;257
1;1347;0;20;0;4598;117,21;229,9;23/07/2011;3;200;453
18;1348;42,9;9;429;3818,1;197,28;429;20/04/2013;2;306;283
3;1426;275,6;12;0;7992,4;316,85;689;13/12/2011;1;11;234
1;1462;0;10;289;2890;132,9;289;22/11/2011;1;217;1412
3;1499;39,9;12;0;4748,1;183,49;399;30/10/2013;1;195;274
12;1746;40;12;0;2360;91,97;200;22/11/2011;1;30;1441
3;1944;36,9;36;0;13247,1;188,13;369;29/04/2013;1;15;431
1;1962;0;10;0;3690;188,13;369;16/10/2013;1;157;436
1;2014;0;20;229,9;4598;117,21;229,9;27/02/2012;1;103;441
1;2071;0;5;0;695;70,87;139;30/11/2012;2;306;585
1;2072;0;5;0;695;70,87;139;16/06/2011;1;6;585
3;2075;41,7;6;0;792,3;70,87;139;21/03/2011;1;61;573
1;2142;0;10;289;2890;132,9;289;16/10/2012;1;85;1412
1;2240;0;10;399;3990;183,49;399;10/10/2013;1;160;248
1;2503;0;5;0;695;70,87;139;14/01/2011;1;139;632
1;2532;0;10;0;1390;70,87;139;13/03/2011;1;25;549
1;2855;0;15;0;3448,5;117,21;229,9;22/04/2013;1;64;458
1;2942;0;10;0;5290;243,27;529;06/08/2012;1;18;276
3;2987;73,8;36;0;13210,2;188,13;369;05/01/2011;1;173;425
12;3023;139,8;12;0;8248,2;321,44;699;07/08/2011;1;70;225
1;3091;0;10;0;5290;243,27;529;09/09/2011;3;200;250
1;3167;0;20;0;2780;70,87;139;19/05/2013;2;199;609
1;3262;0;20;0;2780;70,87;139;07/04/2011;1;42;573
3;3329;68,97;18;0;4069,23;117,21;229,9;23/01/2011;1;63;441
18;3365;36,9;18;0;6605,1;188,13;369;11/05/2011;4;309;419
1;3494;0;10;139;1390;70,87;139;29/05/2011;2;306;597
3;3561;279,6;24;0;16496,4;321,44;699;16/12/2013;2;199;209
3;3670;114,95;36;0;8161,45;117,21;229,9;11/12/2012;4;308;458
12;3712;68,9;12;0;8199,1;316,85;689;09/12/2013;1;159;202
12;3757;171,6;12;0;4976,4;197,28;429;12/08/2011;1;159;270
3;3870;0;6;0;990;75,88;165;16/09/2013;1;107;947
18;3873;369;54;0;19557;188,13;369;09/12/2011;2;306;431
1;3892;0;10;0;3390;155,89;339;20/04/2013;1;90;247
1;3894;0;15;0;3448,5;117,21;229,9;07/09/2013;1;27;458
1;3911;0;10;0;1390;70,87;139;07/08/2013;1;93;549
12;4017;68,97;24;0;5448,63;117,21;229,9;23/09/2013;1;112;453
1;4114;0;20;0;2780;70,87;139;18/09/2013;1;236;632
1;4222;0;20;0;4598;117,21;229,9;30/08/2013;1;79;453
1;4278;0;10;0;6890;316,85;689;18/01/2012;1;64;202
1;4309;0;5;0;695;70,87;139;30/07/2013;1;103;549
1;4617;0;5;0;1000;91,97;200;14/05/2013;4;309;1441
1;4684;0;10;0;6890;316,85;689;16/03/2012;1;217;234
1;4798;0;5;0;695;70,87;139;15/10/2013;1;178;621
1;5115;0;10;0;6990;321,44;699;27/05/2011;4;308;201
1;5230;0;10;0;3990;183,49;399;14/11/2013;1;41;274
1;5515;0;10;0;3990;183,49;399;07/02/2013;1;114;261
1;5577;0;30;0;6897;117,21;229,9;06/03/2011;2;306;453
3;5612;68,9;12;0;8199,1;316,85;689;22/08/2012;3;200;218
1;5815;0;10;0;3990;183,49;399;18/08/2012;1;49;261
1;5835;0;10;0;3990;183,49;399;12/09/2012;4;309;248
1;6007;0;10;0;6890;316,85;689;13/01/2012;1;172;202
3;6142;39,9;12;0;4748,1;183,49;399;26/05/2013;1;75;261
1;6190;0;60;0;22140;188,13;369;23/10/2013;3;200;436
1;6230;0;10;0;3635;185,32;363,5;02/04/2011;1;54;355
27;6474;0;9;0;6291;321,44;699;07/12/2013;1;303;209
1;6538;0;10;699;6990;321,44;699;04/08/2011;1;16;217
1;6589;0;10;0;3990;183,49;399;07/02/2011;2;199;287
18;6754;0;9;0;6291;321,44;699;24/11/2011;1;232;217
21;6903;343,2;36;0;15100,8;197,28;429;08/08/2011;2;199;244
1;7003;0;10;0;1390;70,87;139;18/02/2012;2;199;585
12;7095;183,92;96;0;21886,48;117,21;229,9;25/02/2011;2;199;458
1;7251;0;10;0;1390;70,87;139;08/02/2012;1;60;632
3;7406;0;12;0;5148;197,28;429;26/02/2011;1;162;244
21;7427;237,3;36;339;11966,7;155,89;339;02/05/2011;2;199;247
12;7480;91,96;24;0;5425,64;117,21;229,9;25/06/2012;1;112;458
1;7499;0;10;0;4290;197,28;429;31/08/2012;1;25;270
3;7533;13,9;6;0;820,1;70,87;139;06/06/2012;3;200;549
1;7645;0;10;0;6990;321,44;699;20/03/2013;1;83;225
1;7732;0;10;0;6890;316,85;689;22/11/2013;1;198;234
1;7773;0;10;0;2000;91,97;200;07/07/2011;1;49;1441
1;7786;0;5;139;695;70,87;139;13/09/2012;1;146;549
1;7787;0;30;0;11070;188,13;369;04/05/2012;1;172;425
1;7875;0;5;0;695;70,87;139;01/04/2013;1;152;597
1;7975;0;5;0;695;70,87;139;19/06/2013;1;43;597
1;8416;0;10;0;5290;243,27;529;27/01/2011;4;308;250
3;8479;128,7;12;0;5019,3;197,28;429;22/08/2013;1;95;270
12;8856;22,99;24;0;5494,61;117,21;229,9;06/03/2013;1;141;458
1;8992;0;10;0;4290;197,28;429;27/02/2011;1;149;257
1;9516;0;10;0;6890;316,85;689;24/04/2013;1;165;202
12;9564;0;12;0;5148;197,28;429;09/09/2012;1;89;244
1;9708;0;10;0;4290;197,28;429;02/11/2011;1;117;244
1;9714;0;5;0;695;70,87;139;08/12/2013;1;55;632
21;9834;68,9;12;0;8199,1;316,85;689;30/04/2013;4;308;202
1;9840;0;5;0;695;70,87;139;01/06/2012;2;306;585
1;9948;0;5;0;825;75,88;165;16/06/2013;1;185;947
1;10130;0;5;0;695;70,87;139;08/01/2013;1;30;597
1;10134;0;10;0;3990;183,49;399;30/04/2012;1;139;274
1;10181;0;10;0;6990;321,44;699;21/09/2013;2;199;225
1;10196;0;20;0;8580;197,28;429;06/07/2012;1;128;244
1;10253;0;20;399;7980;183,49;399;17/07/2011;2;199;287
1;10272;0;5;0;695;70,87;139;17/12/2012;1;10;549
1;10380;0;20;0;7380;188,13;369;27/12/2012;1;125;419
